,f1,f2,pond,f1_norm,f2_norm
0,1098.4750294259998,27.1509631,0.1132545084344788,0.1132545084344788,0.3379688392609488
1,1098.4750294259998,27.1509631,0.12449022497580231,0.1132545084344788,0.3379688392609488
2,1156.7184340899996,31.27226742,0.1485100681698001,0.1217009217729182,0.3897923857417373
3,1098.4750294259998,27.1509631,0.1469616580584493,0.1132545084344788,0.3379688392609488
4,1098.4750294259998,27.1509631,0.1581973745997728,0.1132545084344788,0.3379688392609488
5,1102.2291036389995,27.1509631,0.16984140083756444,0.113798921363103,0.3379688392609488
6,1098.4750294259998,27.1509631,0.18066880768241977,0.1132545084344788,0.3379688392609488
7,1098.4750294259998,27.1509631,0.19190452422374327,0.1132545084344788,0.3379688392609488
8,1098.4750294259998,27.1509631,0.20314024076506676,0.1132545084344788,0.3379688392609488
9,1102.3896713699994,27.1509631,0.2146881913913818,0.11382220677082709,0.3379688392609488
10,1428.4841333630004,32.22522273,0.2814437711546492,0.16111217254906998,0.4017753697602286
11,1993.591021631,39.72658146,0.38223445903483577,0.24306353487492455,0.49610157880203604
12,1368.5202313120003,29.99379646,0.28519621498573916,0.15241625401494116,0.37371618896627123
13,1171.4120506259994,27.1509631,0.2630208680430703,0.12383177863843887,0.3379688392609488
14,1105.3946191279995,27.1509631,0.2708555820713799,0.11425798196238579,0.3379688392609488
15,1374.487148134,30.924555,0.32738543686127736,0.15328157166121278,0.38542005859463224
16,1098.4750294259998,27.1509631,0.2930259730956548,0.1132545084344788,0.3379688392609488
17,1404.6951876120004,29.07964373,0.33153730814957566,0.157662318100179,0.3622211299229986
18,1098.4750294259998,27.1509631,0.3154974061783018,0.1132545084344788,0.3379688392609488
19,1098.4750294259998,27.1509631,0.32673312271962535,0.1132545084344788,0.3379688392609488
